0,1,186.43,320.00,55.24,79.19,0.78,-1,-1,-1
0,2,721.24,262.96,54.37,77.35,0.77,-1,-1,-1
0,3,275.85,481.67,50.07,105.38,0.77,-1,-1,-1
0,4,157.15,245.73,43.44,68.30,0.77,-1,-1,-1
0,5,791.28,512.68,35.29,111.59,0.77,-1,-1,-1
0,6,857.98,215.84,37.66,65.91,0.76,-1,-1,-1
0,7,508.24,216.31,28.35,66.80,0.74,-1,-1,-1
0,8,25.03,194.80,22.34,67.41,0.74,-1,-1,-1
0,9,522.10,250.18,25.88,72.28,0.73,-1,-1,-1
0,10,39.05,163.86,26.63,69.53,0.71,-1,-1,-1
1,1,180.43,318.85,53.84,80.20,0.78,-1,-1,-1
1,2,719.97,263.34,49.16,76.85,0.78,-1,-1,-1
1,3,268.28,482.21,47.80,105.82,0.77,-1,-1,-1
1,4,154.88,245.55,41.89,67.93,0.76,-1,-1,-1
1,5,782.85,512.55,36.49,112.47,0.77,-1,-1,-1
1,6,848.68,216.58,39.90,66.07,0.76,-1,-1,-1
1,7,501.90,216.24,27.41,65.99,0.75,-1,-1,-1
1,8,17.23,194.09,28.63,67.86,0.76,-1,-1,-1
1,9,516.94,249.95,23.96,71.44,0.73,-1,-1,-1
1,10,30.02,163.55,26.05,69.60,0.72,-1,-1,-1
2,1,174.93,318.32,51.56,79.93,0.78,-1,-1,-1
2,2,718.90,263.42,43.78,76.06,0.78,-1,-1,-1
2,3,262.66,481.70,44.93,106.41,0.77,-1,-1,-1
2,4,153.88,245.13,38.44,67.22,0.77,-1,-1,-1
2,5,775.13,512.93,37.08,113.15,0.76,-1,-1,-1
2,6,831.58,217.84,49.86,65.97,0.77,-1,-1,-1
2,7,495.28,216.05,27.77,65.79,0.75,-1,-1,-1
2,8,8.41,193.95,35.89,67.30,0.76,-1,-1,-1
2,9,510.64,249.46,23.11,71.76,0.73,-1,-1,-1
2,10,20.32,162.18,26.81,69.70,0.71,-1,-1,-1
3,1,170.31,317.28,48.20,80.56,0.78,-1,-1,-1
